doi,year,title,venue,research_question,method,sensor,agent,host,support,validation_design,class_balance_reported,accuracy_metric,accuracy_value,notes
10.3390/s25010046,2024,Multi-Band Scattering Characteristics of Miniature Masson Pine Canopy Based on Microwave Anechoic Chamber Measurement,Italian National Conference on Sensors,RQ3,controlled anechoic chamber backscatter measurement of canopy scenes at four defoliation densities,"C-, X- and Ku-band microwave, ground-based","defoliation, imposed experimentally","Masson pine, miniature canopy",canopy scene,controlled laboratory measurement,no,backscatter contribution by component,"not extracted, reported by band and angle",Direct physical evidence on which canopy components drive backscatter at different defoliation levels. Useful mechanistic citation for a radar-structure hypothesis.
10.3390/f15050803,2024,The Significance of Tree Height as a Predictor of Tree Mortality during Bark Beetle Outbreaks in a Small Catchment,Forests,RQ3,machine learning variable importance on tree category time series from aerial images with lidar heights,"aerial imagery at 20 cm, terrestrial lidar campaigns 2010 and 2011",bark beetle,"Norway spruce, Sumava National Park","individual tree, more than 60,000 trees",not stated in abstract,no,variable importance,tree height was the most influential variable in each year,Direct evidence that a structural variable predicts which trees an insect kills. Single agent.
10.3390/rs16193751,2024,Discriminating between Biotic and Abiotic Stress in Poplar Forests Using Hyperspectral and LiDAR Data,Remote Sensing,RQ2;RQ3,"partial least squares VIP variable selection then PLS-SVM, four models: healthy, drought, ALB, and four-class","UAV hyperspectral, UAV lidar","Asian longhorned beetle and drought, singly and combined","poplar (Populus), Three-North Shelterbelt, northwestern China","individual tree, 325 poplars across four 50 x 50 m plots","train and test split 7 to 3 with 10-fold cross-validation, not spatially blocked","yes: 66 healthy, 75 ALB only, 80 drought only, 104 combined","overall accuracy, kappa, producer's and user's accuracy from confusion matrices",four-class OA 78.79%; drought OA 94.85% K 0.90; ALB OA 80.81% K 0.62; healthy 94.79%; ALB producer's accuracy 86.96% well watered versus 79.41% water deficient,"CENTRAL RECORD FOR RQ3, full text read. Zhou et al. 2024. Host held constant (Populus gansuensis) and two agents separated with lidar metrics among the top predictors. Discussion states verbatim: 'Unlike previous studies, in this experiment, LiDAR metrics effectively detect forest pest.' A lidar variable, Height_99th/Tree Height, is among the five most important for the ALB model. One agent is abiotic, so the two-insect wording survives; the claim that structure has never been used to identify which agent caused damage does not."
10.1093/forestry/cpae057,2024,Detection of snow disturbances in boreal forests using unitemporal airborne lidar data and aerial images,Forestry: An International Journal of Forest Research,RQ2;RQ3,individual tree detection from lidar then random forest classification of healthy versus broken trees,"unitemporal airborne lidar 5 points per m2, aerial images",snow damage,"boreal forest, Eastern Finland","individual tree, 675 positioned trees, 209 plots",81 healthy and 128 snow-disturbed field plots,"yes, 81 healthy versus 128 disturbed plots stated",not stated in abstract,not stated in abstract,Single-date lidar detects a structural signature of one abiotic agent at tree level. Motivates the work by the raised risk of subsequent insect outbreak.
10.1109/igarss53475.2024.10642694,2024,Forest Harvest Detection Using SAR Coherence Time Series: A Case Study of Bark Beetle Outbreak in the Czech Republic,IEEE International Geoscience and Remote Sensing Symposium,RQ3,SAR interferometric coherence time series compared with annual harvest records,Sentinel-1 SAR coherence,bark beetle outbreak followed by salvage harvest,"Czech Republic forest, spruce implied",not stated,visual comparison with ground truth harvest data,no,not stated,not stated,Coherence responds to salvage removal rather than to the beetle attack itself.
10.3390/machines12120944,2024,Unmanned Ground Vehicle for Identifying Trees Infested with Bark Beetles,Machines,RQ2,computer vision classification of resin stains on bark from an autonomous ground vehicle,"ground vehicle camera, rotating lidar for navigation only",bark beetle,"mountain forest, species not stated",individual tree bark surface,not stated in abstract,no,not stated in abstract,not stated in abstract,"Ground-level early indicator, offered as a contrast to aerial monitoring which the authors say detects only advanced stages."
10.1109/igarss53475.2024.10641738,2024,Tracking Spatial and Temporal Variation in Forest Canopy Conditions in the Boreal Forest of Alaska Using Lidar Data,IEEE International Geoscience and Remote Sensing Symposium,RQ3,canopy height model differencing and canopy cover change 2017 to 2023,airborne lidar,"not stated, mortality in white spruce","white spruce, interior Alaska","1 ha plot, individual tree",comparison with 37 years of ground data,no,agreement with ground data,84% of trees showed height variation corresponding with ground canopy change,Structure detects mortality without identifying its cause.
10.1016/j.ophoto.2023.100034,2023,UAV-based reference data for the prediction of fractional cover of standing deadwood from Sentinel time series,ISPRS Open Journal of Photogrammetry and Remote Sensing,RQ3,CNN semantic segmentation of dead crowns on UAV orthomosaics to generate reference data for Sentinel time series regression,"UAV RGB at under 4 cm, Sentinel time series","tree mortality including drought, windthrow, harvest, wildfire",multiple,crown and Sentinel pixel,"UAV-derived reference, 176 orthomosaics",no,not stated in abstract,not stated in abstract,"Notes that non-stand-replacing mortality is the harder case, which is the regime the adelgid problem sits in."
10.1080/15481603.2023.2226515,2023,"Assessing Combinations of Landsat, Sentinel-2 and Sentinel-1 Time series for Detecting Bark Beetle Infestations",GIScience &amp; Remote Sensing,RQ2;RQ3,"Bayesian conditional probability and random forest regression on index time series, five sensor configurations compared","Landsat, Sentinel-2, Sentinel-1 SAR",bark beetle (Ips typographus),"Norway spruce, Bavarian Forest National Park","pixel, contiguous patch",multi-year reference dataset of annual infested areas,no,maximum overall accuracy,Sentinel-2 0.93; Landsat 0.89; Landsat plus Sentinel-2 0.87; all three combined 0.67; Sentinel-1 alone 0.62,Load-bearing negative result for radar. The abstract states verbatim that Sentinel-1 was unable to detect infested areas (max. accuracy: 0.62) and that combining all three satellite types did not achieve satisfactory results either.
10.3390/rs15041004,2023,Potential of Sentinel-1 SAR to Assess Damage in Drought-Affected Temperate Deciduous Broadleaf Forests,Remote Sensing,RQ3,"temporal-only time series filtering of radiometric and polarimetric indices, anomaly analysis",Sentinel-1 C-band SAR,drought,temperate deciduous broadleaf forest,"10 m by 10 m, described as single-tree scale",not stated in abstract,no,not stated in abstract,not stated in abstract,Radar sensitivity to foliage loss from an abiotic agent.
10.3390/rs15194778,2023,Delineating and Reconstructing 3D Forest Fuel Components and Volumes with Terrestrial Laser Scanning,Remote Sensing,RQ3,transformer-based deep learning classification of TLS point clouds into eight fuel classes with quantitative structural models,"terrestrial laser scanning, twelve plot scans",mountain pine beetle,Jasper National Park pine forest,"branch, tree and plot",not stated in abstract,no,not stated in abstract,not stated in abstract,"Structural consequence of one insect agent, for fuel modelling."
10.3390/s23156669,2023,"Estimating Structural Damage to Mangrove Forests Using Airborne Lidar Imagery: Case Study of Damage Induced by the 2017 Hurricane Irma to Mangroves in the Florida Everglades, USA",Italian National Conference on Sensors,RQ3,lidar structural change with field data to model aboveground necromass,"airborne lidar, field data",Hurricane Irma,"mangrove, Florida Everglades","tree structure levels, stand",field observations,no,not stated in abstract,not stated in abstract,"Single agent, structural damage quantification."
10.1029/2022jg007234,2023,Estimating Individual Tree Mortality in the Sierra Nevada Using Lidar and Multispectral Reflectance Data,Journal of Geophysical Research - Biogeosciences,RQ3,lidar crown delineation then multispectral mortality mapping over more than one million trees,NEON airborne lidar and multispectral,"drought, 2012 to 2016",Sierra National Forest conifers,"individual tree, 160 km2",not stated in abstract,no,mortality proportion,25.4% of trees died between 2013 and 2017,Lidar supplies crown geometry; mortality itself is detected spectrally.
10.3390/rs15041165,2023,Post-Hurricane Damage Severity Classification at the Individual Tree Level Using Terrestrial Laser Scanning and Deep Learning,Remote Sensing,RQ3,"convolutional neural networks on 2D images rendered from TLS point clouds, six architectures compared",terrestrial laser scanning,Hurricane Michael,"pine-dominated forest, Florida Panhandle",individual tree,not stated in abstract,no,not stated in abstract,not stated in abstract,"States that no prior study had combined TLS with deep learning for hurricane damage at individual tree level. Damage severity classes, one agent."
10.1111/1365-2745.14093,2023,Airborne laser scanning reveals uniform responses of forest structure to moose (Alces alces) across the boreal forest biome,Journal of Ecology,RQ3,airborne laser scanning across 100 paired exclosure and control plots,airborne laser scanning,moose (Alces alces) browsing,boreal forest across six countries,plot,paired exclosure-control experimental design,"yes, 100 paired plots",not stated in abstract,not stated in abstract,"Rare case of structure isolating a biotic herbivory agent under experimental control. The agent is a vertebrate browser, not an insect."
